15 Sep 2024 - 12:41:33.873 [main] INFO  dasturlash.uz.Application - Starting Application using Java 21.0.2 with PID 20312 (D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Spring_Project\Kun.uz\target\classes started by Hp victus in D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Spring_Project\Kun.uz)
15 Sep 2024 - 12:41:33.900 [main] INFO  dasturlash.uz.Application - The following 1 profile is active: "dev"
15 Sep 2024 - 12:41:35.472 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
15 Sep 2024 - 12:41:35.617 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 131 ms. Found 13 JPA repository interfaces.
15 Sep 2024 - 12:41:36.453 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
15 Sep 2024 - 12:41:36.468 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
15 Sep 2024 - 12:41:36.469 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
15 Sep 2024 - 12:41:36.543 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
15 Sep 2024 - 12:41:36.544 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2575 ms
15 Sep 2024 - 12:41:36.744 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
15 Sep 2024 - 12:41:36.877 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
15 Sep 2024 - 12:41:36.951 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
15 Sep 2024 - 12:41:37.322 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
15 Sep 2024 - 12:41:37.369 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
15 Sep 2024 - 12:41:37.690 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@63c84d31
15 Sep 2024 - 12:41:37.692 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
15 Sep 2024 - 12:41:39.554 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
15 Sep 2024 - 12:41:39.920 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
15 Sep 2024 - 12:41:40.236 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
15 Sep 2024 - 12:41:42.004 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
15 Sep 2024 - 12:41:42.599 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@170a5bc8, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@63ec3626, org.springframework.security.web.context.SecurityContextHolderFilter@4515dfae, org.springframework.security.web.header.HeaderWriterFilter@71676e5f, org.springframework.security.web.authentication.logout.LogoutFilter@1a4132b2, dasturlash.uz.config.JwtTokenFilter@10395bc4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2be41d90, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@55a72c9e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@28debadc, org.springframework.security.web.access.ExceptionTranslationFilter@6b0dc462, org.springframework.security.web.access.intercept.AuthorizationFilter@1ffd6df2]
15 Sep 2024 - 12:41:43.174 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
15 Sep 2024 - 12:41:43.185 [main] INFO  dasturlash.uz.Application - Started Application in 9.933 seconds (process running for 11.705)
15 Sep 2024 - 12:41:43.197 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
15 Sep 2024 - 12:41:43.200 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
15 Sep 2024 - 12:41:43.207 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
